width,num_params,optimizer,steps,grid,k,lr,lambda,lambda_l1,lambda_entropy,train_loss,test_loss,train_acc,test_acc,loss_plot_path,acc_plot_path,params_path,loss_fn
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.10321622712105202,5.279624939924951e-05,1,2,0.3952128,0.5063303,0.9561499953269958,0.9267999529838562,plots/kan_loss_2025-02-06_17-28-21.png,plots/kan_acc_2025-02-06_17-28-21.png,weights/kan_2025-02-06_17-28-21_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.8852507979403065,2.421240875029606e-07,2,1,0.46379393,0.50832045,0.9374666810035706,0.923799991607666,plots/kan_loss_2025-02-06_18-33-30.png,plots/kan_acc_2025-02-06_18-33-30.png,weights/kan_2025-02-06_18-33-30_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.024843540134779914,4.722241727166145e-06,0,2,0.3348892,0.55099624,0.9725500345230103,0.9230999946594238,plots/kan_loss_2025-02-06_17-50-04.png,plots/kan_acc_2025-02-06_17-50-04.png,weights/kan_2025-02-06_17-50-04_state,CrossEntropy
"[[784, 0], [10, 0]]",79968,Adam,5000,5,3,0.0004835943208437123,9.549709060774166e-07,2,1,0.19327669,0.63120383,0.9951000213623047,0.9188999533653259,plots/kan_loss_2025-02-05_11-56-18.png,plots/kan_acc_2025-02-05_11-56-19.png,weights/kan_2025-02-05_11-56-19_state,
"[[784, 0], [20, 0], [10, 0]]",152568,LBFGS,100,5,3,0.02301117477010002,0.00011612166005802231,2,1,0.21265751,0.5588144,0.9960333704948425,0.9187999963760376,plots/kan_loss_2025-02-05_00-43-41.png,plots/kan_acc_2025-02-05_00-43-41.png,weights/kan_2025-02-05_00-43-42_state,
"[[784, 0], [12, 0], [10, 0]]",95304,LBFGS,100,5,3,0.004977783436939428,9.569860826165405e-05,2,1,0.38724953,0.5390169,0.9625499844551086,0.9179999828338623,plots/kan_loss_2025-02-05_01-08-39.png,plots/kan_acc_2025-02-05_01-08-39.png,weights/kan_2025-02-05_01-08-39_state,
"[[784, 0], [16, 0], [10, 0]]",123936,Adam,3000,5,3,0.00012939839253929572,7.392383615927844e-06,2,1,0.44547966,0.5834667,0.9732500314712524,0.9172999858856201,plots/kan_loss_2025-02-04_23-10-15.png,plots/kan_acc_2025-02-04_23-10-15.png,weights/kan_2025-02-04_23-10-15_state,
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.1,1e-06,1,2,0.46292406,0.5532356,0.9391000270843506,0.9140999913215637,plots/kan_loss_2025-02-06_16-18-50.png,plots/kan_acc_2025-02-06_16-19-07.png,weights/kan_2025-02-06_16-19-09_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.01074600906042103,1.0131682912535633e-07,4,3,0.39973658,0.5918795,0.9584833383560181,0.9133999943733215,plots/kan_loss_2025-02-06_18-24-49.png,plots/kan_acc_2025-02-06_18-24-49.png,weights/kan_2025-02-06_18-24-49_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.019663144373585073,3.4502929447733095e-05,3,4,0.42497474,0.5625241,0.9537500143051147,0.9132999777793884,plots/kan_loss_2025-02-06_17-24-00.png,plots/kan_acc_2025-02-06_17-24-01.png,weights/kan_2025-02-06_17-24-01_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.7883392430906527,9.544967758677247e-06,0,1,0.50107384,0.53793406,0.9238166809082031,0.9128999710083008,plots/kan_loss_2025-02-06_17-41-23.png,plots/kan_acc_2025-02-06_17-41-23.png,weights/kan_2025-02-06_17-41-23_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.13301408472465553,6.068204202170626e-05,1,0,0.42573035,0.55666226,0.9484000205993652,0.9126999974250793,plots/kan_loss_2025-02-06_17-19-40.png,plots/kan_acc_2025-02-06_17-19-40.png,weights/kan_2025-02-06_17-19-40_state,CrossEntropy
"[[784, 0], [8, 0], [10, 0]]",66672,Adam,3000,5,3,0.0008232824784500189,4.747489715315562e-05,2,1,0.09306361,0.13525872,0.9637166857719421,0.9093999862670898,plots/kan_loss_2025-02-04_21-49-24.png,plots/kan_acc_2025-02-04_21-49-24.png,weights/kan_2025-02-04_21-49-24_state,
"[[784, 0], [24, 0], [10, 0]]",181200,Adam,3000,5,3,0.001751510047078286,1.3920595838835613e-07,2,1,0.117452614,0.142358,0.9466666579246521,0.9042999744415283,plots/kan_loss_2025-02-05_05-51-50.png,plots/kan_acc_2025-02-05_05-51-50.png,weights/kan_2025-02-05_05-51-50_state,
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.4468166446441397,6.874163559353552e-07,1,0,0.54728836,0.5815904,0.9117833375930786,0.9039999842643738,plots/kan_loss_2025-02-06_20-17-41.png,plots/kan_acc_2025-02-06_20-17-41.png,weights/kan_2025-02-06_20-17-41_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.001,1.8e-05,1,2,0.380759,0.6402431,0.9629833698272705,0.9035999774932861,plots/kan_loss_2025-02-06_15-04-34.png,plots/kan_acc_2025-02-06_15-04-40.png,weights/kan_2025-02-06_15-04-43_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.8945464733103446,1.6789908156476524e-07,3,3,0.5483067,0.5877869,0.9126999974250793,0.9009999632835388,plots/kan_loss_2025-02-06_19-08-13.png,plots/kan_acc_2025-02-06_19-08-14.png,weights/kan_2025-02-06_19-08-14_state,CrossEntropy
