Starting at Tue Feb  4 12:03:58 PM CET 2025
Running on hosts: cg11
Running on 1 nodes.
Running on 48 processors.
SLURM JobID 1082756 processors.
Node has 48 processors.
Node has  total memory.
Node has 10600 memory per cpu.
Current working directory is /lunarc/nobackup/projects/lu2024-17-38/fu6315ma/training/mnist
Current path is /lunarc/nobackup/projects/lu2024-17-38/fu6315ma/.venv/bin:/sw/pkg/gfxlauncher:/home/fu6315ma/.vscode-server/cli/servers/Stable-cd4ee3b1c348a13bafd8f9ad8060705f6d4b9cba/server/bin/remote-cli:/sw/pkg/gfxlauncher:/home/fu6315ma/.local/bin:/home/fu6315ma/bin:/sw/pkg/gfxlauncher:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:.:/sw/pkg/lunarc/bin:/sw/pkg/slurm/local/bin:/opt/thinlinc/bin:/opt/thinlinc/sbin:.:/sw/pkg/lunarc/bin:/sw/pkg/slurm/local/bin:.:/sw/pkg/lunarc/bin:/sw/pkg/slurm/local/bin
2025-02-04 12:03:58: Training started (directory: /lunarc/nobackup/projects/lu2024-17-38/fu6315ma/training/mnist)\n
cuda
Train:  torch.Size([60000, 784]) torch.Size([60000, 10])
Test:  torch.Size([10000, 784]) torch.Size([10000, 10])
[I 2025-02-04 12:04:03,760] A new study created in memory with name: no-name-c0479e23-5bb3-4e44-90e5-c5ae9d346cf9
checkpoint directory created: ./model
saving model version 0.0
Trial 0: {'depth': 2, 'width_0': 20, 'width_1': 20, 'optimizer': 'Adam', 'lr': 0.006291481596185759, 'lambda': 2.5251176579483726e-06, 'loss_fn': 'CrossEntropy'}

description:   0%|                                                         | 0/3000 [00:00<?, ?it/s]
| train_loss: 1.89e+00 | test_loss: 2.12e+00 | reg: 4.17e+03 | :   1%| | 31/3000 [01:14<2:05:21,  2.
| train_loss: 1.89e+00 | test_loss: 2.12e+00 | reg: 4.17e+03 | :   1%| | 32/3000 [01:14<1:56:03,  2.
| train_loss: 2.07e+00 | test_loss: 1.72e+00 | reg: 5.91e+03 | :   1%| | 32/3000 [01:16<1:56:03,  2.
| train_loss: 2.07e+00 | test_loss: 1.72e+00 | reg: 5.91e+03 | :   1%| | 33/3000 [01:16<1:48:11,  2.
| train_loss: 1.87e+00 | test_loss: 1.46e+00 | reg: 1.82e+03 | :   1%| | 33/3000 [01:18<1:48:11,  2.
| train_loss: 1.87e+00 | test_loss: 1.46e+00 | reg: 1.82e+03 | :   1%| | 34/3000 [01:18<1:44:45,  2.
| train_loss: 1.44e+00 | test_loss: 1.35e+00 | reg: 2.69e+03 | :   1%| | 34/3000 [01:19<1:44:45,  2.
| train_loss: 1.44e+00 | test_loss: 1.35e+00 | reg: 2.69e+03 | :   1%| | 35/3000 [01:19<1:38:37,  2.
| train_loss: 1.17e+00 | test_loss: 1.14e+00 | reg: 5.86e+03 | :   1%| | 35/3000 [01:23<1:38:37,  2.
| train_loss: 1.17e+00 | test_loss: 1.14e+00 | reg: 5.86e+03 | :   1%| | 36/3000 [01:23<2:03:36,  2.
| train_loss: 1.10e+00 | test_loss: 1.10e+00 | reg: 1.08e+04 | :   1%| | 36/3000 [01:25<2:03:36,  2.
| train_loss: 1.10e+00 | test_loss: 1.10e+00 | reg: 1.08e+04 | :   1%| | 37/3000 [01:25<1:57:15,  2.
| train_loss: 1.03e+00 | test_loss: 1.11e+00 | reg: 1.53e+04 | :   1%| | 37/3000 [01:27<1:57:15,  2.
| train_loss: 1.03e+00 | test_loss: 1.11e+00 | reg: 1.53e+04 | :   1%| | 38/3000 [01:27<1:46:21,  2.
| train_loss: 9.62e-01 | test_loss: 1.14e+00 | reg: 1.73e+04 | :   1%| | 38/3000 [01:29<1:46:21,  2.
| train_loss: 9.62e-01 | test_loss: 1.14e+00 | reg: 1.73e+04 | :   1%| | 39/3000 [01:29<1:45:18,  2.
| train_loss: 9.10e-01 | test_loss: 1.14e+00 | reg: 1.61e+04 | :   1%| | 39/3000 [01:31<1:45:18,  2.
| train_loss: 9.10e-01 | test_loss: 1.14e+00 | reg: 1.61e+04 | :   1%| | 40/3000 [01:31<1:38:00,  1.
| train_loss: nan | test_loss: nan | reg: nan | :   1%|         | 40/3000 [01:34<1:38:00,  1.99s/it]
| train_loss: nan | test_loss: nan | reg: nan | :   1%|         | 41/3000 [01:34<2:04:03,  2.52s/it]
